Produced Date,Product ID,Employee ID,Produced Quantity,Total Quantity,Work Hours
2010-01-01,a1001,1001,63,99,4
2010-01-01,b1002,1002,76,91,8
2010-01-01,c1003,1003,78,93,6
2010-01-01,d1004,1004,73,94,5
2010-01-01,e1005,1005,84,91,4
2010-01-01,f1006,1006,65,92,7
2010-01-01,g1007,1007,73,98,8
2010-01-01,h1008,1008,76,97,4
2010-01-01,i1009,1009,82,90,4
2010-01-01,j1010,1010,83,96,8
2010-01-02,a1001,1001,87,100,5
2010-01-02,b1002,1002,64,93,5
2010-01-02,c1003,1003,65,96,8
2010-01-02,d1004,1004,63,93,7
2010-01-02,e1005,1005,72,90,8
2010-01-02,f1006,1006,84,90,7
2010-01-02,g1007,1007,64,91,6
2010-01-02,h1008,1008,84,92,6
2010-01-02,i1009,1009,64,98,4
2010-01-02,j1010,1010,75,92,6
2010-01-03,a1001,1001,60,90,8
2010-01-03,b1002,1002,89,97,7
2010-01-03,c1003,1003,80,96,4
2010-01-03,d1004,1004,86,91,5
2010-01-03,e1005,1005,85,96,5
2010-01-03,f1006,1006,68,97,4
2010-01-03,g1007,1007,74,99,7
2010-01-03,h1008,1008,66,100,4
2010-01-03,i1009,1009,61,92,5
2010-01-03,j1010,1010,65,96,5
2010-01-04,a1001,1001,81,98,4
2010-01-04,b1002,1002,86,96,7
2010-01-04,c1003,1003,75,94,7
2010-01-04,d1004,1004,84,95,6
2010-01-04,e1005,1005,86,95,6
2010-01-04,f1006,1006,63,90,7
2010-01-04,g1007,1007,74,95,4
2010-01-04,h1008,1008,68,96,6
2010-01-04,i1009,1009,89,98,4
2010-01-04,j1010,1010,83,100,4
2010-01-05,a1001,1001,71,95,4
2010-01-05,b1002,1002,68,90,7
2010-01-05,c1003,1003,85,97,6
2010-01-05,d1004,1004,83,90,4
2010-01-05,e1005,1005,86,92,8
2010-01-05,f1006,1006,82,92,8
2010-01-05,g1007,1007,79,98,5
2010-01-05,h1008,1008,88,99,7
2010-01-05,i1009,1009,81,96,7
2010-01-05,j1010,1010,74,93,5
2010-01-06,a1001,1001,69,90,7
2010-01-06,b1002,1002,70,96,5
2010-01-06,c1003,1003,63,99,6
2010-01-06,d1004,1004,70,93,6
2010-01-06,e1005,1005,70,92,5
2010-01-06,f1006,1006,69,92,4
2010-01-06,g1007,1007,60,100,7
2010-01-06,h1008,1008,74,96,6
2010-01-06,i1009,1009,75,94,5
2010-01-06,j1010,1010,64,96,4
2010-01-07,a1001,1001,76,100,6
2010-01-07,b1002,1002,61,96,7
2010-01-07,c1003,1003,77,100,7
2010-01-07,d1004,1004,88,90,4
2010-01-07,e1005,1005,87,93,4
2010-01-07,f1006,1006,78,98,8
2010-01-07,g1007,1007,74,99,4
2010-01-07,h1008,1008,65,95,7
2010-01-07,i1009,1009,62,97,6
2010-01-07,j1010,1010,77,91,7
2010-01-08,a1001,1001,63,92,5
2010-01-08,b1002,1002,64,94,8
2010-01-08,c1003,1003,78,99,5
2010-01-08,d1004,1004,79,97,7
2010-01-08,e1005,1005,84,96,4
2010-01-08,f1006,1006,87,99,4
2010-01-08,g1007,1007,64,100,8
2010-01-08,h1008,1008,76,90,8
2010-01-08,i1009,1009,65,98,4
2010-01-08,j1010,1010,78,95,5
2010-01-09,a1001,1001,77,100,8
2010-01-09,b1002,1002,73,100,5
2010-01-09,c1003,1003,78,100,4
2010-01-09,d1004,1004,78,98,6
2010-01-09,e1005,1005,68,90,4
2010-01-09,f1006,1006,83,94,4
2010-01-09,g1007,1007,73,96,5
2010-01-09,h1008,1008,60,100,4
2010-01-09,i1009,1009,60,99,4
2010-01-09,j1010,1010,68,95,8
2010-01-10,a1001,1001,64,93,8
2010-01-10,b1002,1002,71,97,4
2010-01-10,c1003,1003,77,99,7
